divipola,nivel,departamento,municipio,dimension,indicador_id,indicador,unidad,fuente,valor,fecha_corte
17,departamental,Caldas,,Impacto humano,3is_familias,"Familias afectadas (3iS, oficial)",Número,3iS-Sheets,11760.0,2026-09-05
17,departamental,Caldas,,Vivienda,3is_vivaveriadas,"Viviendas averiadas (3iS, oficial)",Número,3iS-Sheets,17177.0,2026-09-05
17,departamental,Caldas,,Vivienda,3is_vivdestruidas,"Viviendas destruidas (3iS, oficial)",Número,3iS-Sheets,2348.0,2026-09-05
17,departamental,Caldas,,Vivienda,3is_colapsos,"Colapsos (3iS, oficial)",Número,3iS-Sheets,0.0,2026-09-05
17,departamental,Caldas,,Salud,3is_salud,"Puntos de salud afectados (3iS, oficial)",Número,3iS-Sheets,25.0,2026-09-05
17,departamental,Caldas,,Educación,3is_educativos,"Puntos educativos afectados (3iS, oficial)",Número,3iS-Sheets,477.0,2026-09-05
17,departamental,Caldas,,Instituciones,3is_comunitarios,"Puntos comunitarios afectados (3iS, oficial)",Número,3iS-Sheets,62.0,2026-09-05
17,departamental,Caldas,,Infraestructura,3is_vias,"Vías afectadas (3iS, oficial)",Número,3iS-Sheets,16.0,2026-09-05
17,departamental,Caldas,,Infraestructura,3is_aeropuertos,"Aeropuertos afectados (3iS, oficial)",Número,3iS-Sheets,1.0,2026-09-05
17,departamental,Caldas,,Infraestructura,3is_acueductos,"Acueductos afectados (3iS, oficial)",Número,3iS-Sheets,25.0,2026-09-05
17,departamental,Caldas,,Vivienda,pnud_vd,Viviendas destruidas,Número,PNUD,2348,2026-09-05
17,departamental,Caldas,,Vivienda,pnud_va,Viviendas averiadas,Número,PNUD,17177,2026-09-05
17,departamental,Caldas,,Salud,pnud_csalud,Centros de salud afectados,Número,PNUD,25,2026-09-05
17,departamental,Caldas,,Educación,pnud_cedu,Centros educativos afectados,Número,PNUD,477,2026-09-05
17,departamental,Caldas,,Instituciones,pnud_ccom,Centros comunitarios afectados,Número,PNUD,49,2026-09-05
17,departamental,Caldas,,Vivienda,pnud_vivt_cop,Costo estimado vivienda (COP),COP,PNUD,3633312192934,2026-09-05
17,departamental,Caldas,,Salud,pnud_salud_cop,Costo estimado salud (COP),COP,PNUD,12064409457,2026-09-05
17,departamental,Caldas,,Educación,pnud_edu_cop,Costo estimado educación (COP),COP,PNUD,244216162366,2026-09-05
17,departamental,Caldas,,Instituciones,pnud_com_cop,Costo estimado comunitario (COP),COP,PNUD,54246325026,2026-09-05
17,departamental,Caldas,,Infraestructura,pnud_infra_cop,Costo estimado infraestructura institucional (COP),COP,PNUD,310526896850,2026-09-05
17,departamental,Caldas,,Pérdidas económicas,pnud_tot_cop,Costo total estimado (COP),COP,PNUD,3943839089783,2026-09-05
17,departamental,Caldas,,Escombros,undp_rapida_debris_households_m3,Escombros de vivienda (m³),m³,UNDP-RAPIDA,717230,2026-09-05
17,departamental,Caldas,,Escombros,undp_rapida_debris_buildings_m3,Escombros de edificaciones (m³),m³,UNDP-RAPIDA,0,2026-09-05
17,departamental,Caldas,,Escombros,undp_rapida_debris_infra_m3,Escombros de infraestructura (m³),m³,UNDP-RAPIDA,13052,2026-09-05
17,departamental,Caldas,,Escombros,undp_rapida_debris_total_m3,Escombros totales (m³),m³,UNDP-RAPIDA,913085,2026-09-05
17,departamental,Caldas,,Pérdidas económicas,undp_rapida_econ_dmg_households_cop,Daño económico en vivienda (COP),COP,UNDP-RAPIDA,3633312192934,2026-09-05
17,departamental,Caldas,,Pérdidas económicas,undp_rapida_econ_dmg_infra_cop,Daño económico en infraestructura (COP),COP,UNDP-RAPIDA,310526896850,2026-09-05
17,departamental,Caldas,,Pérdidas económicas,undp_rapida_econ_dmg_total_cop,Daño económico total (COP),COP,UNDP-RAPIDA,3943839089783,2026-09-05
66,departamental,Risaralda,,Salud,salud_n,Puntos registrados (Salud),Número,Naboo,25,2026-09-05
66,departamental,Risaralda,,Salud,salud_incidencia_tasa_100k,Tasa de incidencia (Salud),Tasa x100k hab.,Calculo,2.4826216484607744,2026-09-05
66,departamental,Risaralda,,Salud,salud_incidencia_idx,Incidencia (Salud),Índice 0-100,Calculo,67.15809843913121,2026-09-05
66,departamental,Risaralda,,Salud,salud_severidad_promedio,Severidad promedio cruda (Salud),Peso promedio,Calculo,1.76,2026-09-05
66,departamental,Risaralda,,Salud,salud_severidad_idx,Severidad promedio (Salud),Índice 0-100,Calculo,58.666666666666664,2026-09-05
66,departamental,Risaralda,,Salud,salud_idx,Salud,Índice 0-100,Calculo,62.91238255289893,2026-09-05
66,departamental,Risaralda,,Vivienda,vivienda_n,Puntos registrados (Vivienda),Número,Naboo,35,2026-09-05
66,departamental,Risaralda,,Vivienda,vivienda_incidencia_tasa_100k,Tasa de incidencia (Vivienda),Tasa x100k hab.,Calculo,3.475670307845084,2026-09-05
66,departamental,Risaralda,,Vivienda,vivienda_incidencia_idx,Incidencia (Vivienda),Índice 0-100,Calculo,37.16839267981273,2026-09-05
