nivel,departamento,municipio,dimension,indicador_id,indicador,unidad,fuente,valor
departamental,Valle del Cauca,,Infraestructura,3is_aeropuertos,"Aeropuertos afectados (3iS, oficial)",Número,3iS-Sheets,2.0
departamental,Valle del Cauca,,Infraestructura,3is_acueductos,"Acueductos afectados (3iS, oficial)",Número,3iS-Sheets,0.0
departamental,Valle del Cauca,,Vivienda,pnud_vd,Viviendas destruidas,Número,PNUD,11332
departamental,Valle del Cauca,,Vivienda,pnud_va,Viviendas averiadas,Número,PNUD,43521
departamental,Valle del Cauca,,Salud,pnud_csalud,Centros de salud afectados,Número,PNUD,92
departamental,Valle del Cauca,,Educación,pnud_cedu,Centros educativos afectados,Número,PNUD,1063
departamental,Valle del Cauca,,Instituciones,pnud_ccom,Centros comunitarios afectados,Número,PNUD,1988
departamental,Valle del Cauca,,Vivienda,pnud_vivt_cop,Costo estimado vivienda (COP),COP,PNUD,8584182852178
departamental,Valle del Cauca,,Salud,pnud_salud_cop,Costo estimado salud (COP),COP,PNUD,29329730409
departamental,Valle del Cauca,,Educación,pnud_edu_cop,Costo estimado educación (COP),COP,PNUD,712889185699
departamental,Valle del Cauca,,Instituciones,pnud_com_cop,Costo estimado comunitario (COP),COP,PNUD,458274931709
departamental,Valle del Cauca,,Infraestructura,pnud_infra_cop,Costo estimado infraestructura institucional (COP),COP,PNUD,1200493847816
departamental,Valle del Cauca,,Pérdidas económicas,pnud_tot_cop,Costo total estimado (COP),COP,PNUD,9784676699994
departamental,Valle del Cauca,,Escombros,undp_rapida_debris_households_m3,Escombros de vivienda (m³),m³,UNDP-RAPIDA,2160941
departamental,Valle del Cauca,,Escombros,undp_rapida_debris_buildings_m3,Escombros de edificaciones (m³),m³,UNDP-RAPIDA,378849
departamental,Valle del Cauca,,Escombros,undp_rapida_debris_infra_m3,Escombros de infraestructura (m³),m³,UNDP-RAPIDA,678308
departamental,Valle del Cauca,,Escombros,undp_rapida_debris_total_m3,Escombros totales (m³),m³,UNDP-RAPIDA,3813977
departamental,Valle del Cauca,,Pérdidas económicas,undp_rapida_econ_dmg_households_cop,Daño económico en vivienda (COP),COP,UNDP-RAPIDA,8584182852178
departamental,Valle del Cauca,,Pérdidas económicas,undp_rapida_econ_dmg_infra_cop,Daño económico en infraestructura (COP),COP,UNDP-RAPIDA,1200493847817
departamental,Valle del Cauca,,Pérdidas económicas,undp_rapida_econ_dmg_total_cop,Daño económico total (COP),COP,UNDP-RAPIDA,9784676699995
departamental,Tolima,,Salud,salud_n,Puntos registrados (Salud),Número,Naboo,11
departamental,Tolima,,Vivienda,vivienda_n,Puntos registrados (Vivienda),Número,Naboo,12
departamental,Tolima,,Instituciones,instituciones_n,Puntos registrados (Instituciones),Número,Naboo,22
departamental,Tolima,,Educación,educacion_n,Puntos registrados (Educación),Número,Naboo,11
departamental,Tolima,,Productividad (proxy),econ_proxy_n,Puntos registrados (Productividad (proxy)),Número,Naboo,34
departamental,Tolima,,Marco normativo,en_decreto_1171,En Decreto 1171 de 2026 (desastre nacional),Sí/No (1-0),Decreto1171,1
