denominador,codigo,municipio,departamento,poblacion_2026,estimacion_experimental_condicionada_a_existencia,tiene_soporte_minimo,abstencion,ejemplos_patron,banda_error_descriptiva_inferior,banda_error_descriptiva_superior,razones,habilitado_para_indice
urgencias,15820,Tópaga,Boyacá,3723,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15822,Tota,Boyacá,5116,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15832,Tununguá,Boyacá,1559,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15837,Tuta,Boyacá,8196,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15839,Tutazá,Boyacá,1999,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15861,Ventaquemada,Boyacá,17300,1.2539854132590815,true,false,125,1,1.8264232061503067,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15879,Viracachá,Boyacá,2907,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,15897,Zetaquira,Boyacá,4754,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,23682,San José de Uré,Córdoba,15711,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,25019,Albán,Cundinamarca,7048,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,25035,Anapoima,Cundinamarca,17306,1.4382201022350212,true,false,125,1,2.0947600685776044,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,25086,Beltrán,Cundinamarca,1769,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,25095,Bituima,Cundinamarca,2461,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,25099,Bojacá,Cundinamarca,11019,1.0176784590398378,true,false,125,1,1.4822433613154176,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,25120,Cabrera,Cundinamarca,4931,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,25123,Cachipay,Cundinamarca,10366,1.0586672182223695,true,false,125,1,1.5419432750231181,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,25148,Caparrapí,Cundinamarca,11089,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,25168,Chaguaní,Cundinamarca,4402,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,25178,Chipaque,Cundinamarca,10254,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,25181,Choachí,Cundinamarca,11302,1,true,false,125,1,1.456494778040098,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,25200,Cogua,Cundinamarca,25806,1.3155147581274165,true,false,125,1,1.9160403756472648,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
urgencias,25214,Cota,Cundinamarca,48798,2.212513348995565,true,false,125,1.2902535993550857,3.2225141391560492,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
